pid,vid,sid,mode,fixed_dev_mem,llm_dev_mem,fixed_reg_mem,llm_reg_mem
Chart,23,5,mem,0.0,0.0,145633.6,413120.0
Chart,24,1,normal,1398552.0,1363041.6,43592.0,43689.6
Chart,24,2,normal,1382268.8,1294819.2,43592.0,45462.4
Chart,24,3,normal,1233843.2,1100864.0,43964.8,43504.0
Chart,24,4,normal,1258420.8,1160992.0,43916.8,42539.2
Chart,24,5,normal,1441332.8,1438120.0,44427.2,40484.8
Chart,24,1,time,1354995.2,1409835.2,43787.2,42140.8
Chart,24,2,time,1309363.2,1290323.2,45336.0,40513.6
Chart,24,3,time,1163929.6,1304926.4,43513.6,43865.6
Chart,24,4,time,1259409.6,1406249.6,43889.6,44048.0
Chart,24,5,time,1360424.0,1307099.2,43531.2,43584.0
Chart,24,1,mem,1383873.6,1286363.2,43692.8,43523.2
Chart,24,2,mem,1310720.0,1449723.2,43721.6,42604.8
Chart,24,3,mem,1277688.0,1161600.0,42000.0,43641.6
Chart,24,4,mem,0.0,0.0,0.0,0.0
Chart,24,5,mem,1365940.8,1315352.0,43928.0,43744.0
Chart,3,1,normal,0.0,0.0,0.0,0.0
Chart,3,2,normal,0.0,0.0,0.0,0.0
Chart,3,3,normal,0.0,0.0,0.0,0.0
Chart,3,4,normal,0.0,0.0,0.0,0.0
Chart,3,5,normal,0.0,0.0,0.0,0.0
Chart,3,1,time,0.0,0.0,0.0,0.0
Chart,3,2,time,0.0,0.0,0.0,0.0
Chart,3,3,time,0.0,0.0,0.0,0.0
Chart,3,4,time,0.0,0.0,0.0,0.0
Chart,3,5,time,0.0,0.0,0.0,0.0
Chart,3,1,mem,0.0,0.0,0.0,0.0
Chart,3,2,mem,0.0,0.0,0.0,0.0
Chart,3,3,mem,0.0,0.0,0.0,0.0
Chart,3,4,mem,0.0,0.0,0.0,0.0
Chart,3,5,mem,0.0,0.0,0.0,0.0
Chart,6,1,normal,1316260.8,1391332.8,50676.8,34121.6
Chart,6,2,normal,0.0,0.0,0.0,0.0
Chart,6,3,normal,1346169.6,1305547.2,51811.2,38044.8
Chart,6,4,normal,1423185.6,1242544.0,55014.4,41654.4
Chart,6,5,normal,1207766.4,1438622.4,51531.2,41054.4
Chart,6,1,time,0.0,0.0,53278.4,54320.0
Chart,6,2,time,1271857.6,1330664.0,51713.6,35140.8
Chart,6,3,time,1407419.2,1367990.4,51721.6,33731.2
Chart,6,4,time,1386369.6,1271209.6,49288.0,36427.2
Chart,6,5,time,1441593.6,1303096.0,51606.4,36038.4
Chart,6,1,mem,1452462.4,1375462.4,49387.2,41379.2
Chart,6,2,mem,0.0,0.0,0.0,0.0
Chart,6,3,mem,1492923.2,1421190.4,50995.2,36115.2
Chart,6,4,mem,1276097.6,1485292.8,50216.0,49315.2
